Datum;Zeit;Time;Lu_Gecko - microwave(02Alex) Wirkenergie(kWh)
20.03.2024;15:09:38;2024-03-20T15:09:38+01:00;5.723
20.03.2024;15:04:38;2024-03-20T15:04:38+01:00;5.723
20.03.2024;14:59:38;2024-03-20T14:59:38+01:00;5.723
20.03.2024;14:54:38;2024-03-20T14:54:38+01:00;5.723
20.03.2024;14:49:38;2024-03-20T14:49:38+01:00;5.723
20.03.2024;14:44:38;2024-03-20T14:44:38+01:00;5.723
20.03.2024;14:39:38;2024-03-20T14:39:38+01:00;5.723
20.03.2024;14:34:38;2024-03-20T14:34:38+01:00;5.723
20.03.2024;14:29:38;2024-03-20T14:29:38+01:00;5.723
20.03.2024;14:24:38;2024-03-20T14:24:38+01:00;5.723
20.03.2024;14:19:38;2024-03-20T14:19:38+01:00;5.723
20.03.2024;14:14:38;2024-03-20T14:14:38+01:00;5.723
20.03.2024;14:09:38;2024-03-20T14:09:38+01:00;5.723
20.03.2024;14:04:38;2024-03-20T14:04:38+01:00;5.723
20.03.2024;13:59:38;2024-03-20T13:59:38+01:00;5.723
20.03.2024;13:54:38;2024-03-20T13:54:38+01:00;5.723
20.03.2024;13:49:38;2024-03-20T13:49:38+01:00;5.723
20.03.2024;13:44:38;2024-03-20T13:44:38+01:00;5.723
20.03.2024;13:39:38;2024-03-20T13:39:38+01:00;5.723
20.03.2024;13:34:38;2024-03-20T13:34:38+01:00;5.723
20.03.2024;13:29:38;2024-03-20T13:29:38+01:00;5.723
20.03.2024;13:24:38;2024-03-20T13:24:38+01:00;5.723
20.03.2024;13:19:38;2024-03-20T13:19:38+01:00;5.723
20.03.2024;13:14:38;2024-03-20T13:14:38+01:00;5.723
20.03.2024;13:09:38;2024-03-20T13:09:38+01:00;5.723
20.03.2024;13:04:38;2024-03-20T13:04:38+01:00;5.723
20.03.2024;12:59:38;2024-03-20T12:59:38+01:00;5.723
20.03.2024;12:54:38;2024-03-20T12:54:38+01:00;5.723
20.03.2024;12:49:38;2024-03-20T12:49:38+01:00;5.723
20.03.2024;12:44:38;2024-03-20T12:44:38+01:00;5.723
20.03.2024;12:39:38;2024-03-20T12:39:38+01:00;5.723
20.03.2024;12:34:38;2024-03-20T12:34:38+01:00;5.723
20.03.2024;12:29:38;2024-03-20T12:29:38+01:00;5.698
20.03.2024;12:24:38;2024-03-20T12:24:38+01:00;5.696
20.03.2024;12:19:38;2024-03-20T12:19:38+01:00;5.696
20.03.2024;12:14:38;2024-03-20T12:14:38+01:00;5.696
20.03.2024;12:09:38;2024-03-20T12:09:38+01:00;5.696
20.03.2024;12:04:38;2024-03-20T12:04:38+01:00;5.696
20.03.2024;11:59:38;2024-03-20T11:59:38+01:00;5.696
20.03.2024;11:54:38;2024-03-20T11:54:38+01:00;5.696
20.03.2024;11:49:38;2024-03-20T11:49:38+01:00;5.696
20.03.2024;11:44:38;2024-03-20T11:44:38+01:00;5.696
20.03.2024;11:39:38;2024-03-20T11:39:38+01:00;5.696
20.03.2024;11:34:38;2024-03-20T11:34:38+01:00;5.696
20.03.2024;11:29:38;2024-03-20T11:29:38+01:00;5.696
20.03.2024;11:24:38;2024-03-20T11:24:38+01:00;5.696
20.03.2024;11:19:38;2024-03-20T11:19:38+01:00;5.696
20.03.2024;11:14:38;2024-03-20T11:14:38+01:00;5.696
20.03.2024;11:09:38;2024-03-20T11:09:38+01:00;5.696
20.03.2024;11:04:38;2024-03-20T11:04:38+01:00;5.696
20.03.2024;10:59:38;2024-03-20T10:59:38+01:00;5.695
20.03.2024;10:54:38;2024-03-20T10:54:38+01:00;5.66
20.03.2024;10:49:38;2024-03-20T10:49:38+01:00;5.66
20.03.2024;10:44:38;2024-03-20T10:44:38+01:00;5.66
20.03.2024;10:39:38;2024-03-20T10:39:38+01:00;5.66
20.03.2024;10:34:38;2024-03-20T10:34:38+01:00;5.66
20.03.2024;10:29:38;2024-03-20T10:29:38+01:00;5.66
20.03.2024;10:24:38;2024-03-20T10:24:38+01:00;5.66
20.03.2024;10:19:38;2024-03-20T10:19:38+01:00;5.66
20.03.2024;10:14:38;2024-03-20T10:14:38+01:00;5.66
