Datum;Zeit;Time;Wirkenergie(kWh)
18.03.2024;21:48:26;2024-03-18T21:48:26+01:00;0.139
18.03.2024;21:43:26;2024-03-18T21:43:26+01:00;0.139
18.03.2024;21:38:26;2024-03-18T21:38:26+01:00;0.139
18.03.2024;21:33:26;2024-03-18T21:33:26+01:00;0.139
18.03.2024;21:28:26;2024-03-18T21:28:26+01:00;0.139
18.03.2024;21:23:26;2024-03-18T21:23:26+01:00;0.139
18.03.2024;21:18:26;2024-03-18T21:18:26+01:00;0.139
18.03.2024;21:13:26;2024-03-18T21:13:26+01:00;0.139
18.03.2024;21:08:26;2024-03-18T21:08:26+01:00;0.139
18.03.2024;21:03:26;2024-03-18T21:03:26+01:00;0.139
18.03.2024;20:58:26;2024-03-18T20:58:26+01:00;0.139
18.03.2024;20:53:26;2024-03-18T20:53:26+01:00;0.139
18.03.2024;20:48:26;2024-03-18T20:48:26+01:00;0.139
18.03.2024;20:43:26;2024-03-18T20:43:26+01:00;0.139
18.03.2024;20:38:26;2024-03-18T20:38:26+01:00;0.139
18.03.2024;20:33:26;2024-03-18T20:33:26+01:00;0.139
18.03.2024;20:28:26;2024-03-18T20:28:26+01:00;0.139
18.03.2024;20:23:26;2024-03-18T20:23:26+01:00;0.139
18.03.2024;20:18:26;2024-03-18T20:18:26+01:00;0.139
18.03.2024;20:13:26;2024-03-18T20:13:26+01:00;0.139
18.03.2024;20:08:26;2024-03-18T20:08:26+01:00;0.139
18.03.2024;20:03:26;2024-03-18T20:03:26+01:00;0.139
18.03.2024;19:58:26;2024-03-18T19:58:26+01:00;0.139
18.03.2024;19:53:26;2024-03-18T19:53:26+01:00;0.139
18.03.2024;19:48:26;2024-03-18T19:48:26+01:00;0.139
18.03.2024;19:43:26;2024-03-18T19:43:26+01:00;0.139
18.03.2024;19:38:26;2024-03-18T19:38:26+01:00;0.139
18.03.2024;19:33:26;2024-03-18T19:33:26+01:00;0.139
18.03.2024;19:28:26;2024-03-18T19:28:26+01:00;0.139
18.03.2024;19:23:26;2024-03-18T19:23:26+01:00;0.139
18.03.2024;19:18:26;2024-03-18T19:18:26+01:00;0.139
18.03.2024;19:13:26;2024-03-18T19:13:26+01:00;0.139
18.03.2024;19:08:26;2024-03-18T19:08:26+01:00;0.139
18.03.2024;19:03:26;2024-03-18T19:03:26+01:00;0.139
18.03.2024;18:58:26;2024-03-18T18:58:26+01:00;0.139
18.03.2024;18:53:26;2024-03-18T18:53:26+01:00;0.139
18.03.2024;18:48:26;2024-03-18T18:48:26+01:00;0.139
18.03.2024;18:43:26;2024-03-18T18:43:26+01:00;0.139
18.03.2024;18:38:26;2024-03-18T18:38:26+01:00;0.139
18.03.2024;18:33:26;2024-03-18T18:33:26+01:00;0.139
18.03.2024;18:28:26;2024-03-18T18:28:26+01:00;0.139
18.03.2024;18:23:25;2024-03-18T18:23:25+01:00;0.139
18.03.2024;18:18:26;2024-03-18T18:18:26+01:00;0.139
18.03.2024;18:13:26;2024-03-18T18:13:26+01:00;0.139
18.03.2024;18:08:25;2024-03-18T18:08:25+01:00;0.139
18.03.2024;18:03:25;2024-03-18T18:03:25+01:00;0.139
18.03.2024;17:58:25;2024-03-18T17:58:25+01:00;0.139
18.03.2024;17:53:25;2024-03-18T17:53:25+01:00;0.139
18.03.2024;17:48:25;2024-03-18T17:48:25+01:00;0.139
18.03.2024;17:43:25;2024-03-18T17:43:25+01:00;0.139
18.03.2024;17:38:25;2024-03-18T17:38:25+01:00;0.139
18.03.2024;17:33:25;2024-03-18T17:33:25+01:00;0.139
18.03.2024;17:28:25;2024-03-18T17:28:25+01:00;0.139
18.03.2024;17:23:25;2024-03-18T17:23:25+01:00;0.139
18.03.2024;17:18:25;2024-03-18T17:18:25+01:00;0.139
18.03.2024;17:13:25;2024-03-18T17:13:25+01:00;0.139
17.03.2024;22:40:38;2024-03-17T22:40:38+01:00;0.139
17.03.2024;22:35:38;2024-03-17T22:35:38+01:00;0.139
17.03.2024;22:30:38;2024-03-17T22:30:38+01:00;0.139
17.03.2024;22:25:38;2024-03-17T22:25:38+01:00;0.139
17.03.2024;22:20:38;2024-03-17T22:20:38+01:00;0.139
17.03.2024;22:15:38;2024-03-17T22:15:38+01:00;0.139
17.03.2024;22:10:38;2024-03-17T22:10:38+01:00;0.139
17.03.2024;22:05:38;2024-03-17T22:05:38+01:00;0.139
17.03.2024;22:00:38;2024-03-17T22:00:38+01:00;0.139
17.03.2024;21:55:38;2024-03-17T21:55:38+01:00;0.139
17.03.2024;21:50:38;2024-03-17T21:50:38+01:00;0.139
17.03.2024;21:45:38;2024-03-17T21:45:38+01:00;0.139
17.03.2024;21:40:38;2024-03-17T21:40:38+01:00;0.139
17.03.2024;21:35:38;2024-03-17T21:35:38+01:00;0.139
17.03.2024;21:30:38;2024-03-17T21:30:38+01:00;0.139
17.03.2024;21:25:38;2024-03-17T21:25:38+01:00;0.139
17.03.2024;21:20:38;2024-03-17T21:20:38+01:00;0.139
17.03.2024;21:15:38;2024-03-17T21:15:38+01:00;0.139
17.03.2024;21:10:38;2024-03-17T21:10:38+01:00;0.139
17.03.2024;21:05:38;2024-03-17T21:05:38+01:00;0.139
17.03.2024;21:00:38;2024-03-17T21:00:38+01:00;0.139
17.03.2024;20:55:38;2024-03-17T20:55:38+01:00;0.139
17.03.2024;20:50:38;2024-03-17T20:50:38+01:00;0.139
17.03.2024;20:46:11;2024-03-17T20:46:11+01:00;0.139
17.03.2024;20:40:38;2024-03-17T20:40:38+01:00;0.139
17.03.2024;20:35:38;2024-03-17T20:35:38+01:00;0.139
17.03.2024;20:30:38;2024-03-17T20:30:38+01:00;0.139
17.03.2024;20:25:38;2024-03-17T20:25:38+01:00;0.139
17.03.2024;20:20:38;2024-03-17T20:20:38+01:00;0.139
17.03.2024;20:15:38;2024-03-17T20:15:38+01:00;0.139
17.03.2024;20:10:38;2024-03-17T20:10:38+01:00;0.139
17.03.2024;20:05:38;2024-03-17T20:05:38+01:00;0.139
17.03.2024;20:00:38;2024-03-17T20:00:38+01:00;0.139
17.03.2024;19:55:38;2024-03-17T19:55:38+01:00;0.139
17.03.2024;19:50:38;2024-03-17T19:50:38+01:00;0.139
17.03.2024;19:45:38;2024-03-17T19:45:38+01:00;0.139
17.03.2024;19:40:38;2024-03-17T19:40:38+01:00;0.139
17.03.2024;19:35:38;2024-03-17T19:35:38+01:00;0.139
17.03.2024;19:30:38;2024-03-17T19:30:38+01:00;0.139
17.03.2024;19:25:38;2024-03-17T19:25:38+01:00;0.139
17.03.2024;19:20:38;2024-03-17T19:20:38+01:00;0.139
17.03.2024;19:15:38;2024-03-17T19:15:38+01:00;0.139
17.03.2024;19:10:38;2024-03-17T19:10:38+01:00;0.139
17.03.2024;19:05:38;2024-03-17T19:05:38+01:00;0.139
17.03.2024;19:00:38;2024-03-17T19:00:38+01:00;0.139
17.03.2024;18:55:38;2024-03-17T18:55:38+01:00;0.139
17.03.2024;18:50:38;2024-03-17T18:50:38+01:00;0.139
17.03.2024;18:45:38;2024-03-17T18:45:38+01:00;0.139
17.03.2024;18:40:38;2024-03-17T18:40:38+01:00;0.139
17.03.2024;18:35:38;2024-03-17T18:35:38+01:00;0.139
17.03.2024;18:30:38;2024-03-17T18:30:38+01:00;0.139
17.03.2024;18:25:38;2024-03-17T18:25:38+01:00;0.139
17.03.2024;18:20:37;2024-03-17T18:20:37+01:00;0.139
17.03.2024;18:15:38;2024-03-17T18:15:38+01:00;0.139
17.03.2024;18:10:38;2024-03-17T18:10:38+01:00;0.139
17.03.2024;18:05:37;2024-03-17T18:05:37+01:00;0.139
17.03.2024;18:00:38;2024-03-17T18:00:38+01:00;0.139
17.03.2024;17:55:37;2024-03-17T17:55:37+01:00;0.139
17.03.2024;17:50:37;2024-03-17T17:50:37+01:00;0.139
17.03.2024;17:45:37;2024-03-17T17:45:37+01:00;0.139
17.03.2024;17:40:37;2024-03-17T17:40:37+01:00;0.139
17.03.2024;17:35:37;2024-03-17T17:35:37+01:00;0.139
17.03.2024;17:30:37;2024-03-17T17:30:37+01:00;0.139
17.03.2024;17:25:37;2024-03-17T17:25:37+01:00;0.139
17.03.2024;17:20:37;2024-03-17T17:20:37+01:00;0.139
17.03.2024;17:15:37;2024-03-17T17:15:37+01:00;0.139
17.03.2024;17:10:37;2024-03-17T17:10:37+01:00;0.139
17.03.2024;17:05:37;2024-03-17T17:05:37+01:00;0.139
17.03.2024;17:00:37;2024-03-17T17:00:37+01:00;0.139
17.03.2024;16:55:37;2024-03-17T16:55:37+01:00;0.139
17.03.2024;16:50:37;2024-03-17T16:50:37+01:00;0.139
17.03.2024;16:45:37;2024-03-17T16:45:37+01:00;0.139
17.03.2024;16:40:37;2024-03-17T16:40:37+01:00;0.139
17.03.2024;16:35:37;2024-03-17T16:35:37+01:00;0.139
17.03.2024;16:30:37;2024-03-17T16:30:37+01:00;0.139
17.03.2024;16:25:37;2024-03-17T16:25:37+01:00;0.139
17.03.2024;16:20:37;2024-03-17T16:20:37+01:00;0.139
17.03.2024;16:15:37;2024-03-17T16:15:37+01:00;0.139
17.03.2024;16:10:37;2024-03-17T16:10:37+01:00;0.139
17.03.2024;16:05:37;2024-03-17T16:05:37+01:00;0.139
17.03.2024;16:00:37;2024-03-17T16:00:37+01:00;0.139
17.03.2024;15:55:37;2024-03-17T15:55:37+01:00;0.139
17.03.2024;15:50:37;2024-03-17T15:50:37+01:00;0.139
17.03.2024;15:45:37;2024-03-17T15:45:37+01:00;0.139
17.03.2024;15:40:37;2024-03-17T15:40:37+01:00;0.139
17.03.2024;15:35:37;2024-03-17T15:35:37+01:00;0.139
17.03.2024;15:30:37;2024-03-17T15:30:37+01:00;0.139
17.03.2024;15:25:37;2024-03-17T15:25:37+01:00;0.139
17.03.2024;09:50:34;2024-03-17T09:50:34+01:00;0.139
17.03.2024;09:45:34;2024-03-17T09:45:34+01:00;0.139
17.03.2024;09:40:34;2024-03-17T09:40:34+01:00;0.139
17.03.2024;09:35:34;2024-03-17T09:35:34+01:00;0.139
17.03.2024;09:30:34;2024-03-17T09:30:34+01:00;0.139
17.03.2024;09:25:34;2024-03-17T09:25:34+01:00;0.139
17.03.2024;09:20:34;2024-03-17T09:20:34+01:00;0.139
17.03.2024;09:15:34;2024-03-17T09:15:34+01:00;0.139
17.03.2024;09:10:34;2024-03-17T09:10:34+01:00;0.139
17.03.2024;09:05:34;2024-03-17T09:05:34+01:00;0.139
17.03.2024;09:00:34;2024-03-17T09:00:34+01:00;0.139
17.03.2024;08:55:34;2024-03-17T08:55:34+01:00;0.139
17.03.2024;08:50:34;2024-03-17T08:50:34+01:00;0.139
17.03.2024;08:45:34;2024-03-17T08:45:34+01:00;0.139
17.03.2024;08:40:34;2024-03-17T08:40:34+01:00;0.139
17.03.2024;08:35:34;2024-03-17T08:35:34+01:00;0.139
17.03.2024;08:30:34;2024-03-17T08:30:34+01:00;0.139
17.03.2024;08:25:34;2024-03-17T08:25:34+01:00;0.139
17.03.2024;08:20:34;2024-03-17T08:20:34+01:00;0.139
17.03.2024;08:15:34;2024-03-17T08:15:34+01:00;0.139
17.03.2024;08:10:34;2024-03-17T08:10:34+01:00;0.139
17.03.2024;08:05:34;2024-03-17T08:05:34+01:00;0.139
17.03.2024;08:00:34;2024-03-17T08:00:34+01:00;0.139
17.03.2024;07:55:34;2024-03-17T07:55:34+01:00;0.139
17.03.2024;07:50:34;2024-03-17T07:50:34+01:00;0.139
17.03.2024;07:45:34;2024-03-17T07:45:34+01:00;0.139
17.03.2024;07:40:34;2024-03-17T07:40:34+01:00;0.139
17.03.2024;07:35:34;2024-03-17T07:35:34+01:00;0.139
17.03.2024;07:30:34;2024-03-17T07:30:34+01:00;0.139
17.03.2024;07:25:34;2024-03-17T07:25:34+01:00;0.139
17.03.2024;07:20:34;2024-03-17T07:20:34+01:00;0.139
17.03.2024;07:15:34;2024-03-17T07:15:34+01:00;0.139
17.03.2024;07:10:34;2024-03-17T07:10:34+01:00;0.139
17.03.2024;07:05:34;2024-03-17T07:05:34+01:00;0.139
17.03.2024;07:00:34;2024-03-17T07:00:34+01:00;0.139
17.03.2024;06:55:34;2024-03-17T06:55:34+01:00;0.139
