Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:17:41;2024-03-20T15:17:41+01:00;18.109
20.03.2024;15:12:41;2024-03-20T15:12:41+01:00;18.109
20.03.2024;15:07:41;2024-03-20T15:07:41+01:00;18.109
20.03.2024;15:02:41;2024-03-20T15:02:41+01:00;18.109
20.03.2024;14:57:41;2024-03-20T14:57:41+01:00;18.109
20.03.2024;14:52:41;2024-03-20T14:52:41+01:00;18.109
20.03.2024;14:47:41;2024-03-20T14:47:41+01:00;18.109
20.03.2024;14:42:41;2024-03-20T14:42:41+01:00;18.109
20.03.2024;14:37:41;2024-03-20T14:37:41+01:00;18.109
20.03.2024;14:32:41;2024-03-20T14:32:41+01:00;18.109
20.03.2024;14:27:41;2024-03-20T14:27:41+01:00;18.109
20.03.2024;14:22:41;2024-03-20T14:22:41+01:00;18.109
20.03.2024;14:17:41;2024-03-20T14:17:41+01:00;18.109
20.03.2024;14:12:41;2024-03-20T14:12:41+01:00;18.109
20.03.2024;14:07:41;2024-03-20T14:07:41+01:00;18.109
20.03.2024;14:02:41;2024-03-20T14:02:41+01:00;18.109
20.03.2024;13:57:41;2024-03-20T13:57:41+01:00;18.109
20.03.2024;13:52:41;2024-03-20T13:52:41+01:00;18.109
20.03.2024;13:47:41;2024-03-20T13:47:41+01:00;18.109
20.03.2024;13:42:41;2024-03-20T13:42:41+01:00;18.109
20.03.2024;13:37:41;2024-03-20T13:37:41+01:00;18.109
20.03.2024;13:32:41;2024-03-20T13:32:41+01:00;18.109
20.03.2024;13:27:41;2024-03-20T13:27:41+01:00;18.109
20.03.2024;13:22:41;2024-03-20T13:22:41+01:00;18.109
20.03.2024;13:17:41;2024-03-20T13:17:41+01:00;18.109
20.03.2024;13:12:41;2024-03-20T13:12:41+01:00;18.109
20.03.2024;13:07:41;2024-03-20T13:07:41+01:00;18.109
20.03.2024;13:02:41;2024-03-20T13:02:41+01:00;18.109
20.03.2024;12:57:41;2024-03-20T12:57:41+01:00;18.109
20.03.2024;12:52:41;2024-03-20T12:52:41+01:00;18.109
20.03.2024;12:47:41;2024-03-20T12:47:41+01:00;18.109
20.03.2024;12:42:41;2024-03-20T12:42:41+01:00;18.109
20.03.2024;12:37:41;2024-03-20T12:37:41+01:00;18.109
20.03.2024;12:32:41;2024-03-20T12:32:41+01:00;18.109
20.03.2024;12:27:41;2024-03-20T12:27:41+01:00;18.109
20.03.2024;12:22:41;2024-03-20T12:22:41+01:00;18.109
20.03.2024;12:17:41;2024-03-20T12:17:41+01:00;18.109
20.03.2024;12:12:41;2024-03-20T12:12:41+01:00;18.109
20.03.2024;12:07:41;2024-03-20T12:07:41+01:00;18.109
20.03.2024;12:02:41;2024-03-20T12:02:41+01:00;18.109
20.03.2024;11:57:41;2024-03-20T11:57:41+01:00;18.109
20.03.2024;11:52:41;2024-03-20T11:52:41+01:00;18.109
20.03.2024;11:47:41;2024-03-20T11:47:41+01:00;18.109
20.03.2024;11:42:41;2024-03-20T11:42:41+01:00;18.109
20.03.2024;11:37:41;2024-03-20T11:37:41+01:00;18.109
20.03.2024;11:32:41;2024-03-20T11:32:41+01:00;18.109
20.03.2024;11:27:41;2024-03-20T11:27:41+01:00;18.109
20.03.2024;11:22:41;2024-03-20T11:22:41+01:00;18.109
20.03.2024;11:17:41;2024-03-20T11:17:41+01:00;18.109
20.03.2024;11:12:41;2024-03-20T11:12:41+01:00;18.109
20.03.2024;11:07:41;2024-03-20T11:07:41+01:00;18.109
20.03.2024;11:02:41;2024-03-20T11:02:41+01:00;18.109
20.03.2024;10:57:41;2024-03-20T10:57:41+01:00;18.109
20.03.2024;10:52:41;2024-03-20T10:52:41+01:00;18.109
20.03.2024;10:47:41;2024-03-20T10:47:41+01:00;18.109
20.03.2024;10:42:41;2024-03-20T10:42:41+01:00;18.109
20.03.2024;10:37:41;2024-03-20T10:37:41+01:00;18.109
20.03.2024;10:32:41;2024-03-20T10:32:41+01:00;18.109
20.03.2024;10:27:41;2024-03-20T10:27:41+01:00;18.109
20.03.2024;10:22:41;2024-03-20T10:22:41+01:00;18.109
20.03.2024;10:17:41;2024-03-20T10:17:41+01:00;18.109
20.03.2024;10:12:41;2024-03-20T10:12:41+01:00;18.109
20.03.2024;10:07:41;2024-03-20T10:07:41+01:00;18.109
20.03.2024;10:02:41;2024-03-20T10:02:41+01:00;18.109
20.03.2024;09:57:41;2024-03-20T09:57:41+01:00;18.109
20.03.2024;09:52:41;2024-03-20T09:52:41+01:00;18.109
20.03.2024;09:47:41;2024-03-20T09:47:41+01:00;18.109
20.03.2024;09:42:41;2024-03-20T09:42:41+01:00;18.109
20.03.2024;09:37:41;2024-03-20T09:37:41+01:00;18.109
20.03.2024;09:32:41;2024-03-20T09:32:41+01:00;18.109
20.03.2024;09:27:41;2024-03-20T09:27:41+01:00;18.109
20.03.2024;09:22:41;2024-03-20T09:22:41+01:00;18.109
20.03.2024;09:17:41;2024-03-20T09:17:41+01:00;18.109
20.03.2024;09:12:41;2024-03-20T09:12:41+01:00;18.109
20.03.2024;09:07:41;2024-03-20T09:07:41+01:00;18.109
