Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:17:33;2024-03-20T15:17:33+01:00;11.274
20.03.2024;15:12:33;2024-03-20T15:12:33+01:00;11.274
20.03.2024;15:07:33;2024-03-20T15:07:33+01:00;11.273
20.03.2024;15:02:33;2024-03-20T15:02:33+01:00;11.272
20.03.2024;14:57:33;2024-03-20T14:57:33+01:00;11.272
20.03.2024;14:52:33;2024-03-20T14:52:33+01:00;11.271
20.03.2024;14:47:33;2024-03-20T14:47:33+01:00;11.27
20.03.2024;14:42:33;2024-03-20T14:42:33+01:00;11.27
20.03.2024;14:37:33;2024-03-20T14:37:33+01:00;11.269
20.03.2024;14:32:33;2024-03-20T14:32:33+01:00;11.268
20.03.2024;14:27:33;2024-03-20T14:27:33+01:00;11.268
20.03.2024;14:22:33;2024-03-20T14:22:33+01:00;11.267
20.03.2024;14:17:33;2024-03-20T14:17:33+01:00;11.266
20.03.2024;14:12:33;2024-03-20T14:12:33+01:00;11.266
20.03.2024;14:07:33;2024-03-20T14:07:33+01:00;11.265
20.03.2024;14:02:33;2024-03-20T14:02:33+01:00;11.265
20.03.2024;13:57:33;2024-03-20T13:57:33+01:00;11.264
20.03.2024;13:52:33;2024-03-20T13:52:33+01:00;11.263
20.03.2024;13:47:33;2024-03-20T13:47:33+01:00;11.263
20.03.2024;13:42:33;2024-03-20T13:42:33+01:00;11.262
20.03.2024;13:37:33;2024-03-20T13:37:33+01:00;11.261
20.03.2024;13:32:33;2024-03-20T13:32:33+01:00;11.261
20.03.2024;13:27:33;2024-03-20T13:27:33+01:00;11.26
20.03.2024;13:22:33;2024-03-20T13:22:33+01:00;11.259
20.03.2024;13:17:33;2024-03-20T13:17:33+01:00;11.259
20.03.2024;13:12:33;2024-03-20T13:12:33+01:00;11.258
20.03.2024;13:07:33;2024-03-20T13:07:33+01:00;11.257
20.03.2024;13:02:33;2024-03-20T13:02:33+01:00;11.257
20.03.2024;12:57:33;2024-03-20T12:57:33+01:00;11.256
20.03.2024;12:52:33;2024-03-20T12:52:33+01:00;11.255
20.03.2024;12:47:33;2024-03-20T12:47:33+01:00;11.255
20.03.2024;12:42:33;2024-03-20T12:42:33+01:00;11.254
20.03.2024;12:37:33;2024-03-20T12:37:33+01:00;11.253
20.03.2024;12:32:33;2024-03-20T12:32:33+01:00;11.253
20.03.2024;12:27:33;2024-03-20T12:27:33+01:00;11.252
20.03.2024;12:22:33;2024-03-20T12:22:33+01:00;11.251
20.03.2024;12:17:33;2024-03-20T12:17:33+01:00;11.251
20.03.2024;12:12:33;2024-03-20T12:12:33+01:00;11.25
20.03.2024;12:07:33;2024-03-20T12:07:33+01:00;11.249
20.03.2024;12:02:33;2024-03-20T12:02:33+01:00;11.249
20.03.2024;11:57:33;2024-03-20T11:57:33+01:00;11.248
20.03.2024;11:52:33;2024-03-20T11:52:33+01:00;11.248
20.03.2024;11:47:33;2024-03-20T11:47:33+01:00;11.247
20.03.2024;11:42:33;2024-03-20T11:42:33+01:00;11.246
20.03.2024;11:37:33;2024-03-20T11:37:33+01:00;11.245
20.03.2024;11:32:33;2024-03-20T11:32:33+01:00;11.245
20.03.2024;11:27:33;2024-03-20T11:27:33+01:00;11.244
20.03.2024;11:22:33;2024-03-20T11:22:33+01:00;11.244
20.03.2024;11:17:33;2024-03-20T11:17:33+01:00;11.243
20.03.2024;11:12:33;2024-03-20T11:12:33+01:00;11.242
20.03.2024;11:07:33;2024-03-20T11:07:33+01:00;11.242
20.03.2024;11:02:33;2024-03-20T11:02:33+01:00;11.241
20.03.2024;10:57:33;2024-03-20T10:57:33+01:00;11.24
20.03.2024;10:52:33;2024-03-20T10:52:33+01:00;11.24
20.03.2024;10:47:33;2024-03-20T10:47:33+01:00;11.239
20.03.2024;10:42:33;2024-03-20T10:42:33+01:00;11.238
20.03.2024;10:37:33;2024-03-20T10:37:33+01:00;11.238
20.03.2024;10:32:33;2024-03-20T10:32:33+01:00;11.237
20.03.2024;10:27:33;2024-03-20T10:27:33+01:00;11.236
20.03.2024;10:22:33;2024-03-20T10:22:33+01:00;11.236
20.03.2024;10:17:33;2024-03-20T10:17:33+01:00;11.235
20.03.2024;10:12:33;2024-03-20T10:12:33+01:00;11.234
20.03.2024;10:07:33;2024-03-20T10:07:33+01:00;11.234
20.03.2024;10:02:33;2024-03-20T10:02:33+01:00;11.233
20.03.2024;09:57:33;2024-03-20T09:57:33+01:00;11.232
20.03.2024;09:52:33;2024-03-20T09:52:33+01:00;11.232
20.03.2024;09:47:33;2024-03-20T09:47:33+01:00;11.231
20.03.2024;09:42:33;2024-03-20T09:42:33+01:00;11.23
20.03.2024;09:37:33;2024-03-20T09:37:33+01:00;11.23
20.03.2024;09:32:33;2024-03-20T09:32:33+01:00;11.229
20.03.2024;09:27:33;2024-03-20T09:27:33+01:00;11.228
20.03.2024;09:22:33;2024-03-20T09:22:33+01:00;11.228
20.03.2024;09:17:33;2024-03-20T09:17:33+01:00;11.227
20.03.2024;09:12:33;2024-03-20T09:12:33+01:00;11.226
20.03.2024;09:07:33;2024-03-20T09:07:33+01:00;11.226
20.03.2024;09:02:33;2024-03-20T09:02:33+01:00;11.225
20.03.2024;08:57:33;2024-03-20T08:57:33+01:00;11.224
20.03.2024;08:52:33;2024-03-20T08:52:33+01:00;11.224
20.03.2024;08:47:33;2024-03-20T08:47:33+01:00;11.223
20.03.2024;08:42:33;2024-03-20T08:42:33+01:00;11.222
20.03.2024;08:37:33;2024-03-20T08:37:33+01:00;11.222
20.03.2024;08:32:33;2024-03-20T08:32:33+01:00;11.221
20.03.2024;08:27:33;2024-03-20T08:27:33+01:00;11.221
20.03.2024;08:22:33;2024-03-20T08:22:33+01:00;11.22
20.03.2024;08:17:33;2024-03-20T08:17:33+01:00;11.219
20.03.2024;08:12:33;2024-03-20T08:12:33+01:00;11.219
20.03.2024;08:07:33;2024-03-20T08:07:33+01:00;11.218
20.03.2024;08:02:33;2024-03-20T08:02:33+01:00;11.217
20.03.2024;07:57:33;2024-03-20T07:57:33+01:00;11.217
20.03.2024;07:52:33;2024-03-20T07:52:33+01:00;11.216
20.03.2024;07:47:33;2024-03-20T07:47:33+01:00;11.215
20.03.2024;07:42:33;2024-03-20T07:42:33+01:00;11.215
20.03.2024;07:37:33;2024-03-20T07:37:33+01:00;11.214
20.03.2024;07:32:33;2024-03-20T07:32:33+01:00;11.213
20.03.2024;07:27:33;2024-03-20T07:27:33+01:00;11.213
20.03.2024;07:22:33;2024-03-20T07:22:33+01:00;11.212
20.03.2024;07:17:33;2024-03-20T07:17:33+01:00;11.211
20.03.2024;07:12:33;2024-03-20T07:12:33+01:00;11.211
20.03.2024;07:07:33;2024-03-20T07:07:33+01:00;11.21
20.03.2024;07:02:33;2024-03-20T07:02:33+01:00;11.209
20.03.2024;06:57:33;2024-03-20T06:57:33+01:00;11.208
20.03.2024;06:52:33;2024-03-20T06:52:33+01:00;11.207
20.03.2024;06:47:33;2024-03-20T06:47:33+01:00;11.206
20.03.2024;06:42:33;2024-03-20T06:42:33+01:00;11.206
20.03.2024;06:37:33;2024-03-20T06:37:33+01:00;11.205
20.03.2024;06:32:33;2024-03-20T06:32:33+01:00;11.204
20.03.2024;06:27:33;2024-03-20T06:27:33+01:00;11.203
20.03.2024;06:22:33;2024-03-20T06:22:33+01:00;11.203
20.03.2024;06:17:33;2024-03-20T06:17:33+01:00;11.202
20.03.2024;06:12:33;2024-03-20T06:12:33+01:00;11.201
20.03.2024;06:07:33;2024-03-20T06:07:33+01:00;11.201
20.03.2024;06:02:33;2024-03-20T06:02:33+01:00;11.20
20.03.2024;05:57:33;2024-03-20T05:57:33+01:00;11.199
20.03.2024;05:52:33;2024-03-20T05:52:33+01:00;11.199
20.03.2024;05:47:33;2024-03-20T05:47:33+01:00;11.198
20.03.2024;05:42:33;2024-03-20T05:42:33+01:00;11.197
20.03.2024;05:37:33;2024-03-20T05:37:33+01:00;11.197
20.03.2024;05:32:33;2024-03-20T05:32:33+01:00;11.196
20.03.2024;05:27:33;2024-03-20T05:27:33+01:00;11.195
20.03.2024;05:22:33;2024-03-20T05:22:33+01:00;11.195
20.03.2024;05:17:33;2024-03-20T05:17:33+01:00;11.194
20.03.2024;05:12:33;2024-03-20T05:12:33+01:00;11.193
20.03.2024;05:07:33;2024-03-20T05:07:33+01:00;11.192
20.03.2024;05:02:32;2024-03-20T05:02:32+01:00;11.192
20.03.2024;04:57:32;2024-03-20T04:57:32+01:00;11.191
20.03.2024;04:52:32;2024-03-20T04:52:32+01:00;11.19
20.03.2024;04:47:33;2024-03-20T04:47:33+01:00;11.19
20.03.2024;04:42:33;2024-03-20T04:42:33+01:00;11.189
20.03.2024;04:37:32;2024-03-20T04:37:32+01:00;11.188
20.03.2024;04:32:33;2024-03-20T04:32:33+01:00;11.188
20.03.2024;04:27:32;2024-03-20T04:27:32+01:00;11.187
20.03.2024;04:22:32;2024-03-20T04:22:32+01:00;11.186
20.03.2024;04:17:32;2024-03-20T04:17:32+01:00;11.186
20.03.2024;04:12:32;2024-03-20T04:12:32+01:00;11.185
20.03.2024;04:07:32;2024-03-20T04:07:32+01:00;11.185
20.03.2024;04:02:32;2024-03-20T04:02:32+01:00;11.184
20.03.2024;03:57:32;2024-03-20T03:57:32+01:00;11.184
20.03.2024;03:52:32;2024-03-20T03:52:32+01:00;11.183
20.03.2024;03:47:32;2024-03-20T03:47:32+01:00;11.182
20.03.2024;03:42:32;2024-03-20T03:42:32+01:00;11.182
20.03.2024;03:37:32;2024-03-20T03:37:32+01:00;11.181
20.03.2024;03:32:32;2024-03-20T03:32:32+01:00;11.18
20.03.2024;03:27:32;2024-03-20T03:27:32+01:00;11.18
20.03.2024;03:22:32;2024-03-20T03:22:32+01:00;11.179
20.03.2024;03:17:32;2024-03-20T03:17:32+01:00;11.178
20.03.2024;03:12:32;2024-03-20T03:12:32+01:00;11.178
20.03.2024;03:07:32;2024-03-20T03:07:32+01:00;11.177
20.03.2024;03:02:32;2024-03-20T03:02:32+01:00;11.176
20.03.2024;02:57:32;2024-03-20T02:57:32+01:00;11.176
20.03.2024;02:52:32;2024-03-20T02:52:32+01:00;11.175
20.03.2024;02:47:32;2024-03-20T02:47:32+01:00;11.174
20.03.2024;02:42:32;2024-03-20T02:42:32+01:00;11.174
20.03.2024;02:37:32;2024-03-20T02:37:32+01:00;11.173
20.03.2024;02:32:32;2024-03-20T02:32:32+01:00;11.172
20.03.2024;02:27:32;2024-03-20T02:27:32+01:00;11.172
20.03.2024;02:22:32;2024-03-20T02:22:32+01:00;11.171
20.03.2024;02:17:32;2024-03-20T02:17:32+01:00;11.17
20.03.2024;02:12:32;2024-03-20T02:12:32+01:00;11.17
20.03.2024;02:07:32;2024-03-20T02:07:32+01:00;11.169
20.03.2024;02:02:32;2024-03-20T02:02:32+01:00;11.168
20.03.2024;01:57:32;2024-03-20T01:57:32+01:00;11.168
20.03.2024;01:52:32;2024-03-20T01:52:32+01:00;11.167
20.03.2024;01:47:32;2024-03-20T01:47:32+01:00;11.166
20.03.2024;01:42:32;2024-03-20T01:42:32+01:00;11.166
20.03.2024;01:37:32;2024-03-20T01:37:32+01:00;11.165
20.03.2024;01:32:32;2024-03-20T01:32:32+01:00;11.164
20.03.2024;01:27:32;2024-03-20T01:27:32+01:00;11.164
20.03.2024;01:22:32;2024-03-20T01:22:32+01:00;11.163
20.03.2024;01:17:32;2024-03-20T01:17:32+01:00;11.162
20.03.2024;01:12:32;2024-03-20T01:12:32+01:00;11.162
20.03.2024;01:07:32;2024-03-20T01:07:32+01:00;11.161
