Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:19:16;2024-03-20T15:19:16+01:00;34.633
20.03.2024;15:14:16;2024-03-20T15:14:16+01:00;34.63
20.03.2024;15:09:16;2024-03-20T15:09:16+01:00;34.627
20.03.2024;15:04:16;2024-03-20T15:04:16+01:00;34.624
20.03.2024;14:59:16;2024-03-20T14:59:16+01:00;34.621
20.03.2024;14:54:16;2024-03-20T14:54:16+01:00;34.618
20.03.2024;14:49:16;2024-03-20T14:49:16+01:00;34.615
20.03.2024;14:44:16;2024-03-20T14:44:16+01:00;34.612
20.03.2024;14:39:16;2024-03-20T14:39:16+01:00;34.609
20.03.2024;14:34:16;2024-03-20T14:34:16+01:00;34.606
20.03.2024;14:29:16;2024-03-20T14:29:16+01:00;34.602
20.03.2024;14:24:16;2024-03-20T14:24:16+01:00;34.599
20.03.2024;14:19:16;2024-03-20T14:19:16+01:00;34.596
20.03.2024;14:14:16;2024-03-20T14:14:16+01:00;34.593
20.03.2024;14:09:16;2024-03-20T14:09:16+01:00;34.59
20.03.2024;14:04:16;2024-03-20T14:04:16+01:00;34.587
20.03.2024;13:59:16;2024-03-20T13:59:16+01:00;34.584
20.03.2024;13:54:16;2024-03-20T13:54:16+01:00;34.581
20.03.2024;13:49:16;2024-03-20T13:49:16+01:00;34.578
20.03.2024;13:44:16;2024-03-20T13:44:16+01:00;34.575
20.03.2024;13:39:16;2024-03-20T13:39:16+01:00;34.572
20.03.2024;13:34:16;2024-03-20T13:34:16+01:00;34.569
20.03.2024;13:29:16;2024-03-20T13:29:16+01:00;34.566
20.03.2024;13:24:16;2024-03-20T13:24:16+01:00;34.563
20.03.2024;13:19:16;2024-03-20T13:19:16+01:00;34.56
20.03.2024;13:14:16;2024-03-20T13:14:16+01:00;34.556
20.03.2024;13:09:16;2024-03-20T13:09:16+01:00;34.553
20.03.2024;13:04:16;2024-03-20T13:04:16+01:00;34.55
20.03.2024;12:59:16;2024-03-20T12:59:16+01:00;34.547
20.03.2024;12:54:16;2024-03-20T12:54:16+01:00;34.544
20.03.2024;12:49:16;2024-03-20T12:49:16+01:00;34.541
20.03.2024;12:44:16;2024-03-20T12:44:16+01:00;34.538
20.03.2024;12:39:16;2024-03-20T12:39:16+01:00;34.535
20.03.2024;12:34:16;2024-03-20T12:34:16+01:00;34.532
20.03.2024;12:29:16;2024-03-20T12:29:16+01:00;34.529
20.03.2024;12:24:16;2024-03-20T12:24:16+01:00;34.526
20.03.2024;12:19:16;2024-03-20T12:19:16+01:00;34.523
20.03.2024;12:14:16;2024-03-20T12:14:16+01:00;34.52
20.03.2024;12:09:16;2024-03-20T12:09:16+01:00;34.517
20.03.2024;12:04:16;2024-03-20T12:04:16+01:00;34.513
20.03.2024;11:59:16;2024-03-20T11:59:16+01:00;34.51
20.03.2024;11:54:16;2024-03-20T11:54:16+01:00;34.507
20.03.2024;11:49:16;2024-03-20T11:49:16+01:00;34.504
20.03.2024;11:44:16;2024-03-20T11:44:16+01:00;34.501
20.03.2024;11:39:16;2024-03-20T11:39:16+01:00;34.498
20.03.2024;11:34:16;2024-03-20T11:34:16+01:00;34.495
20.03.2024;11:29:16;2024-03-20T11:29:16+01:00;34.492
20.03.2024;11:24:16;2024-03-20T11:24:16+01:00;34.489
20.03.2024;11:19:16;2024-03-20T11:19:16+01:00;34.486
20.03.2024;11:14:16;2024-03-20T11:14:16+01:00;34.483
20.03.2024;11:09:16;2024-03-20T11:09:16+01:00;34.48
20.03.2024;11:04:16;2024-03-20T11:04:16+01:00;34.477
20.03.2024;10:59:16;2024-03-20T10:59:16+01:00;34.474
20.03.2024;10:54:16;2024-03-20T10:54:16+01:00;34.471
20.03.2024;10:49:16;2024-03-20T10:49:16+01:00;34.467
20.03.2024;10:44:16;2024-03-20T10:44:16+01:00;34.464
20.03.2024;10:39:16;2024-03-20T10:39:16+01:00;34.461
20.03.2024;10:34:16;2024-03-20T10:34:16+01:00;34.458
20.03.2024;10:29:15;2024-03-20T10:29:15+01:00;34.455
20.03.2024;10:24:16;2024-03-20T10:24:16+01:00;34.45
20.03.2024;10:19:16;2024-03-20T10:19:16+01:00;34.445
20.03.2024;10:14:15;2024-03-20T10:14:15+01:00;34.44
20.03.2024;10:09:15;2024-03-20T10:09:15+01:00;34.434
20.03.2024;10:04:15;2024-03-20T10:04:15+01:00;34.429
20.03.2024;09:59:15;2024-03-20T09:59:15+01:00;34.424
20.03.2024;09:54:15;2024-03-20T09:54:15+01:00;34.418
20.03.2024;09:49:15;2024-03-20T09:49:15+01:00;34.413
20.03.2024;09:44:15;2024-03-20T09:44:15+01:00;34.407
20.03.2024;09:39:15;2024-03-20T09:39:15+01:00;34.401
20.03.2024;09:34:15;2024-03-20T09:34:15+01:00;34.398
20.03.2024;09:29:15;2024-03-20T09:29:15+01:00;34.395
20.03.2024;09:24:15;2024-03-20T09:24:15+01:00;34.391
20.03.2024;09:19:15;2024-03-20T09:19:15+01:00;34.388
20.03.2024;09:14:15;2024-03-20T09:14:15+01:00;34.384
20.03.2024;09:09:15;2024-03-20T09:09:15+01:00;34.381
20.03.2024;09:04:15;2024-03-20T09:04:15+01:00;34.378
20.03.2024;08:59:15;2024-03-20T08:59:15+01:00;34.374
20.03.2024;08:54:15;2024-03-20T08:54:15+01:00;34.372
20.03.2024;08:49:15;2024-03-20T08:49:15+01:00;34.369
20.03.2024;08:44:15;2024-03-20T08:44:15+01:00;34.366
20.03.2024;08:39:15;2024-03-20T08:39:15+01:00;34.363
20.03.2024;08:34:15;2024-03-20T08:34:15+01:00;34.361
20.03.2024;08:29:15;2024-03-20T08:29:15+01:00;34.358
20.03.2024;08:24:15;2024-03-20T08:24:15+01:00;34.355
20.03.2024;08:19:15;2024-03-20T08:19:15+01:00;34.352
20.03.2024;08:14:15;2024-03-20T08:14:15+01:00;34.349
20.03.2024;08:09:15;2024-03-20T08:09:15+01:00;34.347
20.03.2024;08:04:15;2024-03-20T08:04:15+01:00;34.344
20.03.2024;07:59:15;2024-03-20T07:59:15+01:00;34.341
20.03.2024;07:54:15;2024-03-20T07:54:15+01:00;34.338
20.03.2024;07:49:15;2024-03-20T07:49:15+01:00;34.335
20.03.2024;07:44:15;2024-03-20T07:44:15+01:00;34.332
20.03.2024;07:39:15;2024-03-20T07:39:15+01:00;34.329
20.03.2024;07:34:15;2024-03-20T07:34:15+01:00;34.326
20.03.2024;07:29:15;2024-03-20T07:29:15+01:00;34.323
20.03.2024;07:24:15;2024-03-20T07:24:15+01:00;34.32
20.03.2024;07:19:15;2024-03-20T07:19:15+01:00;34.317
20.03.2024;07:14:15;2024-03-20T07:14:15+01:00;34.314
20.03.2024;07:09:15;2024-03-20T07:09:15+01:00;34.31
20.03.2024;07:04:15;2024-03-20T07:04:15+01:00;34.307
20.03.2024;06:59:15;2024-03-20T06:59:15+01:00;34.304
20.03.2024;06:54:15;2024-03-20T06:54:15+01:00;34.302
20.03.2024;06:49:15;2024-03-20T06:49:15+01:00;34.30
20.03.2024;06:44:15;2024-03-20T06:44:15+01:00;34.299
20.03.2024;06:39:15;2024-03-20T06:39:15+01:00;34.297
20.03.2024;06:34:15;2024-03-20T06:34:15+01:00;34.296
20.03.2024;06:29:15;2024-03-20T06:29:15+01:00;34.294
20.03.2024;06:24:15;2024-03-20T06:24:15+01:00;34.292
20.03.2024;06:19:15;2024-03-20T06:19:15+01:00;34.291
20.03.2024;06:14:15;2024-03-20T06:14:15+01:00;34.289
20.03.2024;06:09:15;2024-03-20T06:09:15+01:00;34.288
20.03.2024;06:04:15;2024-03-20T06:04:15+01:00;34.286
20.03.2024;05:59:15;2024-03-20T05:59:15+01:00;34.284
20.03.2024;05:54:15;2024-03-20T05:54:15+01:00;34.283
20.03.2024;05:49:15;2024-03-20T05:49:15+01:00;34.281
20.03.2024;05:44:15;2024-03-20T05:44:15+01:00;34.28
20.03.2024;05:39:15;2024-03-20T05:39:15+01:00;34.278
20.03.2024;05:34:15;2024-03-20T05:34:15+01:00;34.276
20.03.2024;05:29:15;2024-03-20T05:29:15+01:00;34.275
20.03.2024;05:24:15;2024-03-20T05:24:15+01:00;34.273
20.03.2024;05:19:15;2024-03-20T05:19:15+01:00;34.271
20.03.2024;05:14:15;2024-03-20T05:14:15+01:00;34.27
20.03.2024;05:09:15;2024-03-20T05:09:15+01:00;34.268
20.03.2024;05:04:15;2024-03-20T05:04:15+01:00;34.267
20.03.2024;04:59:15;2024-03-20T04:59:15+01:00;34.265
20.03.2024;04:54:15;2024-03-20T04:54:15+01:00;34.263
20.03.2024;04:49:15;2024-03-20T04:49:15+01:00;34.262
20.03.2024;04:44:15;2024-03-20T04:44:15+01:00;34.26
20.03.2024;04:39:15;2024-03-20T04:39:15+01:00;34.259
20.03.2024;04:34:15;2024-03-20T04:34:15+01:00;34.257
20.03.2024;04:29:15;2024-03-20T04:29:15+01:00;34.255
20.03.2024;04:24:15;2024-03-20T04:24:15+01:00;34.254
20.03.2024;04:19:15;2024-03-20T04:19:15+01:00;34.252
20.03.2024;04:14:15;2024-03-20T04:14:15+01:00;34.25
20.03.2024;04:09:15;2024-03-20T04:09:15+01:00;34.249
20.03.2024;04:04:15;2024-03-20T04:04:15+01:00;34.247
20.03.2024;03:59:15;2024-03-20T03:59:15+01:00;34.246
20.03.2024;03:54:15;2024-03-20T03:54:15+01:00;34.244
20.03.2024;03:49:15;2024-03-20T03:49:15+01:00;34.242
20.03.2024;03:44:15;2024-03-20T03:44:15+01:00;34.241
20.03.2024;03:39:15;2024-03-20T03:39:15+01:00;34.239
20.03.2024;03:34:15;2024-03-20T03:34:15+01:00;34.238
20.03.2024;03:29:15;2024-03-20T03:29:15+01:00;34.236
20.03.2024;03:24:15;2024-03-20T03:24:15+01:00;34.234
20.03.2024;03:19:15;2024-03-20T03:19:15+01:00;34.233
20.03.2024;03:14:15;2024-03-20T03:14:15+01:00;34.231
20.03.2024;03:09:15;2024-03-20T03:09:15+01:00;34.23
20.03.2024;03:04:15;2024-03-20T03:04:15+01:00;34.228
20.03.2024;02:59:15;2024-03-20T02:59:15+01:00;34.226
20.03.2024;02:54:15;2024-03-20T02:54:15+01:00;34.225
20.03.2024;02:49:15;2024-03-20T02:49:15+01:00;34.223
20.03.2024;02:44:15;2024-03-20T02:44:15+01:00;34.221
20.03.2024;02:39:15;2024-03-20T02:39:15+01:00;34.22
20.03.2024;02:34:15;2024-03-20T02:34:15+01:00;34.218
20.03.2024;02:29:15;2024-03-20T02:29:15+01:00;34.217
20.03.2024;02:24:15;2024-03-20T02:24:15+01:00;34.215
20.03.2024;02:19:15;2024-03-20T02:19:15+01:00;34.213
20.03.2024;02:14:15;2024-03-20T02:14:15+01:00;34.212
20.03.2024;02:09:15;2024-03-20T02:09:15+01:00;34.21
20.03.2024;02:04:15;2024-03-20T02:04:15+01:00;34.209
20.03.2024;01:59:15;2024-03-20T01:59:15+01:00;34.207
20.03.2024;01:54:15;2024-03-20T01:54:15+01:00;34.205
20.03.2024;01:49:15;2024-03-20T01:49:15+01:00;34.204
20.03.2024;01:44:15;2024-03-20T01:44:15+01:00;34.202
20.03.2024;01:39:15;2024-03-20T01:39:15+01:00;34.20
20.03.2024;01:34:15;2024-03-20T01:34:15+01:00;34.199
20.03.2024;01:29:15;2024-03-20T01:29:15+01:00;34.197
20.03.2024;01:24:15;2024-03-20T01:24:15+01:00;34.196
20.03.2024;01:19:14;2024-03-20T01:19:14+01:00;34.194
20.03.2024;01:14:14;2024-03-20T01:14:14+01:00;34.192
20.03.2024;01:09:14;2024-03-20T01:09:14+01:00;34.191
20.03.2024;01:04:14;2024-03-20T01:04:14+01:00;34.189
20.03.2024;00:59:14;2024-03-20T00:59:14+01:00;34.187
20.03.2024;00:54:14;2024-03-20T00:54:14+01:00;34.186
20.03.2024;00:49:14;2024-03-20T00:49:14+01:00;34.184
20.03.2024;00:44:14;2024-03-20T00:44:14+01:00;34.183
20.03.2024;00:39:14;2024-03-20T00:39:14+01:00;34.181
20.03.2024;00:34:14;2024-03-20T00:34:14+01:00;34.179
20.03.2024;00:29:14;2024-03-20T00:29:14+01:00;34.178
