Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:23:14;2024-03-20T15:23:14+01:00;55.478
20.03.2024;15:18:14;2024-03-20T15:18:14+01:00;55.478
20.03.2024;15:13:14;2024-03-20T15:13:14+01:00;55.478
20.03.2024;15:08:14;2024-03-20T15:08:14+01:00;55.478
20.03.2024;15:03:14;2024-03-20T15:03:14+01:00;55.478
20.03.2024;14:58:14;2024-03-20T14:58:14+01:00;55.478
20.03.2024;14:53:14;2024-03-20T14:53:14+01:00;55.478
20.03.2024;14:48:14;2024-03-20T14:48:14+01:00;55.478
20.03.2024;14:43:14;2024-03-20T14:43:14+01:00;55.478
20.03.2024;14:38:14;2024-03-20T14:38:14+01:00;55.478
20.03.2024;14:33:14;2024-03-20T14:33:14+01:00;55.478
13.03.2024;21:32:04;2024-03-13T21:32:04+01:00;55.478
13.03.2024;21:27:04;2024-03-13T21:27:04+01:00;55.478
13.03.2024;21:22:04;2024-03-13T21:22:04+01:00;55.478
13.03.2024;21:17:04;2024-03-13T21:17:04+01:00;55.478
13.03.2024;21:12:04;2024-03-13T21:12:04+01:00;55.478
13.03.2024;21:07:04;2024-03-13T21:07:04+01:00;55.478
13.03.2024;21:02:04;2024-03-13T21:02:04+01:00;55.478
13.03.2024;20:57:04;2024-03-13T20:57:04+01:00;55.478
13.03.2024;20:52:04;2024-03-13T20:52:04+01:00;55.478
13.03.2024;20:47:04;2024-03-13T20:47:04+01:00;55.478
13.03.2024;20:42:04;2024-03-13T20:42:04+01:00;55.478
13.03.2024;20:37:04;2024-03-13T20:37:04+01:00;55.478
13.03.2024;20:32:04;2024-03-13T20:32:04+01:00;55.478
13.03.2024;20:27:04;2024-03-13T20:27:04+01:00;55.478
13.03.2024;20:22:04;2024-03-13T20:22:04+01:00;55.478
13.03.2024;20:17:04;2024-03-13T20:17:04+01:00;55.478
13.03.2024;20:12:04;2024-03-13T20:12:04+01:00;55.478
13.03.2024;20:07:04;2024-03-13T20:07:04+01:00;55.478
13.03.2024;20:02:04;2024-03-13T20:02:04+01:00;55.478
13.03.2024;19:57:04;2024-03-13T19:57:04+01:00;55.478
