Datum;Zeit;Time;Wirkenergie(kWh)
18.03.2024;09:56:30;2024-03-18T09:56:30+01:00;2.869
17.03.2024;13:22:44;2024-03-17T13:22:44+01:00;2.869
17.03.2024;13:17:44;2024-03-17T13:17:44+01:00;2.869
17.03.2024;13:12:44;2024-03-17T13:12:44+01:00;2.869
17.03.2024;13:07:44;2024-03-17T13:07:44+01:00;2.869
17.03.2024;13:02:44;2024-03-17T13:02:44+01:00;2.869
17.03.2024;12:57:44;2024-03-17T12:57:44+01:00;2.869
17.03.2024;12:52:44;2024-03-17T12:52:44+01:00;2.869
17.03.2024;12:47:44;2024-03-17T12:47:44+01:00;2.869
17.03.2024;12:42:44;2024-03-17T12:42:44+01:00;2.869
17.03.2024;12:37:44;2024-03-17T12:37:44+01:00;2.869
17.03.2024;12:32:44;2024-03-17T12:32:44+01:00;2.869
17.03.2024;12:27:44;2024-03-17T12:27:44+01:00;2.869
17.03.2024;12:22:44;2024-03-17T12:22:44+01:00;2.869
17.03.2024;12:17:44;2024-03-17T12:17:44+01:00;2.869
17.03.2024;12:12:44;2024-03-17T12:12:44+01:00;2.869
17.03.2024;12:07:44;2024-03-17T12:07:44+01:00;2.869
17.03.2024;12:02:44;2024-03-17T12:02:44+01:00;2.869
17.03.2024;11:57:44;2024-03-17T11:57:44+01:00;2.869
17.03.2024;11:52:44;2024-03-17T11:52:44+01:00;2.869
17.03.2024;11:47:44;2024-03-17T11:47:44+01:00;2.869
17.03.2024;11:42:44;2024-03-17T11:42:44+01:00;2.869
17.03.2024;11:37:44;2024-03-17T11:37:44+01:00;2.869
17.03.2024;11:32:44;2024-03-17T11:32:44+01:00;2.869
17.03.2024;11:27:44;2024-03-17T11:27:44+01:00;2.869
17.03.2024;11:22:44;2024-03-17T11:22:44+01:00;2.869
17.03.2024;11:17:44;2024-03-17T11:17:44+01:00;2.869
17.03.2024;11:12:44;2024-03-17T11:12:44+01:00;2.869
17.03.2024;11:07:44;2024-03-17T11:07:44+01:00;2.869
17.03.2024;11:02:44;2024-03-17T11:02:44+01:00;2.869
17.03.2024;10:57:44;2024-03-17T10:57:44+01:00;2.869
17.03.2024;10:52:44;2024-03-17T10:52:44+01:00;2.869
17.03.2024;10:47:44;2024-03-17T10:47:44+01:00;2.869
17.03.2024;10:42:44;2024-03-17T10:42:44+01:00;2.869
17.03.2024;10:37:44;2024-03-17T10:37:44+01:00;2.869
17.03.2024;10:32:44;2024-03-17T10:32:44+01:00;2.869
17.03.2024;10:27:44;2024-03-17T10:27:44+01:00;2.869
17.03.2024;10:22:44;2024-03-17T10:22:44+01:00;2.869
17.03.2024;10:17:44;2024-03-17T10:17:44+01:00;2.869
17.03.2024;10:12:44;2024-03-17T10:12:44+01:00;2.869
17.03.2024;10:07:44;2024-03-17T10:07:44+01:00;2.869
17.03.2024;10:02:44;2024-03-17T10:02:44+01:00;2.869
17.03.2024;09:57:44;2024-03-17T09:57:44+01:00;2.869
17.03.2024;09:52:44;2024-03-17T09:52:44+01:00;2.869
17.03.2024;09:47:44;2024-03-17T09:47:44+01:00;2.869
