Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:14:14;2024-03-20T15:14:14+01:00;5.40
20.03.2024;15:09:14;2024-03-20T15:09:14+01:00;5.40
20.03.2024;15:04:14;2024-03-20T15:04:14+01:00;5.40
20.03.2024;14:59:14;2024-03-20T14:59:14+01:00;5.40
20.03.2024;14:54:14;2024-03-20T14:54:14+01:00;5.40
20.03.2024;14:49:14;2024-03-20T14:49:14+01:00;5.40
20.03.2024;14:44:14;2024-03-20T14:44:14+01:00;5.40
20.03.2024;14:39:14;2024-03-20T14:39:14+01:00;5.40
20.03.2024;14:34:14;2024-03-20T14:34:14+01:00;5.40
20.03.2024;14:29:14;2024-03-20T14:29:14+01:00;5.40
20.03.2024;14:24:14;2024-03-20T14:24:14+01:00;5.40
20.03.2024;14:19:14;2024-03-20T14:19:14+01:00;5.40
20.03.2024;14:14:14;2024-03-20T14:14:14+01:00;5.40
20.03.2024;14:09:14;2024-03-20T14:09:14+01:00;5.40
20.03.2024;14:04:14;2024-03-20T14:04:14+01:00;5.40
20.03.2024;13:59:14;2024-03-20T13:59:14+01:00;5.40
20.03.2024;13:54:14;2024-03-20T13:54:14+01:00;5.40
20.03.2024;13:49:14;2024-03-20T13:49:14+01:00;5.40
20.03.2024;13:44:14;2024-03-20T13:44:14+01:00;5.40
20.03.2024;13:39:14;2024-03-20T13:39:14+01:00;5.40
20.03.2024;13:34:14;2024-03-20T13:34:14+01:00;5.40
20.03.2024;13:29:14;2024-03-20T13:29:14+01:00;5.40
20.03.2024;13:24:14;2024-03-20T13:24:14+01:00;5.40
20.03.2024;13:19:14;2024-03-20T13:19:14+01:00;5.40
20.03.2024;13:14:14;2024-03-20T13:14:14+01:00;5.40
20.03.2024;13:09:14;2024-03-20T13:09:14+01:00;5.40
20.03.2024;13:04:13;2024-03-20T13:04:13+01:00;5.40
20.03.2024;12:59:14;2024-03-20T12:59:14+01:00;5.40
20.03.2024;12:54:14;2024-03-20T12:54:14+01:00;5.40
20.03.2024;12:49:13;2024-03-20T12:49:13+01:00;5.40
20.03.2024;12:44:13;2024-03-20T12:44:13+01:00;5.40
20.03.2024;12:39:13;2024-03-20T12:39:13+01:00;5.40
20.03.2024;12:34:13;2024-03-20T12:34:13+01:00;5.40
20.03.2024;12:29:13;2024-03-20T12:29:13+01:00;5.40
20.03.2024;12:24:13;2024-03-20T12:24:13+01:00;5.40
20.03.2024;12:19:13;2024-03-20T12:19:13+01:00;5.40
20.03.2024;12:14:13;2024-03-20T12:14:13+01:00;5.40
20.03.2024;12:09:13;2024-03-20T12:09:13+01:00;5.40
20.03.2024;12:04:13;2024-03-20T12:04:13+01:00;5.40
20.03.2024;11:59:13;2024-03-20T11:59:13+01:00;5.40
20.03.2024;11:54:13;2024-03-20T11:54:13+01:00;5.40
20.03.2024;11:49:13;2024-03-20T11:49:13+01:00;5.40
20.03.2024;11:44:13;2024-03-20T11:44:13+01:00;5.40
20.03.2024;11:39:13;2024-03-20T11:39:13+01:00;5.40
20.03.2024;11:34:13;2024-03-20T11:34:13+01:00;5.40
20.03.2024;11:29:13;2024-03-20T11:29:13+01:00;5.40
20.03.2024;11:24:13;2024-03-20T11:24:13+01:00;5.40
20.03.2024;11:19:13;2024-03-20T11:19:13+01:00;5.40
20.03.2024;11:14:13;2024-03-20T11:14:13+01:00;5.40
20.03.2024;11:09:13;2024-03-20T11:09:13+01:00;5.40
20.03.2024;11:04:13;2024-03-20T11:04:13+01:00;5.40
