Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:18:42;2024-03-20T15:18:42+01:00;6.596
20.03.2024;15:13:42;2024-03-20T15:13:42+01:00;6.596
20.03.2024;15:08:42;2024-03-20T15:08:42+01:00;6.596
20.03.2024;15:03:42;2024-03-20T15:03:42+01:00;6.596
20.03.2024;14:58:42;2024-03-20T14:58:42+01:00;6.596
20.03.2024;14:53:42;2024-03-20T14:53:42+01:00;6.595
20.03.2024;14:48:42;2024-03-20T14:48:42+01:00;6.585
20.03.2024;14:43:42;2024-03-20T14:43:42+01:00;6.579
20.03.2024;14:38:42;2024-03-20T14:38:42+01:00;6.579
20.03.2024;14:33:42;2024-03-20T14:33:42+01:00;6.579
20.03.2024;14:28:42;2024-03-20T14:28:42+01:00;6.579
20.03.2024;14:23:42;2024-03-20T14:23:42+01:00;6.579
20.03.2024;14:18:42;2024-03-20T14:18:42+01:00;6.579
20.03.2024;14:13:42;2024-03-20T14:13:42+01:00;6.579
20.03.2024;14:08:42;2024-03-20T14:08:42+01:00;6.578
20.03.2024;14:03:42;2024-03-20T14:03:42+01:00;6.578
20.03.2024;13:58:42;2024-03-20T13:58:42+01:00;6.578
20.03.2024;13:53:42;2024-03-20T13:53:42+01:00;6.578
20.03.2024;13:48:42;2024-03-20T13:48:42+01:00;6.568
20.03.2024;13:43:42;2024-03-20T13:43:42+01:00;6.561
20.03.2024;13:38:42;2024-03-20T13:38:42+01:00;6.561
20.03.2024;13:33:42;2024-03-20T13:33:42+01:00;6.561
20.03.2024;13:28:42;2024-03-20T13:28:42+01:00;6.561
20.03.2024;13:23:42;2024-03-20T13:23:42+01:00;6.561
20.03.2024;13:18:42;2024-03-20T13:18:42+01:00;6.561
20.03.2024;13:13:42;2024-03-20T13:13:42+01:00;6.561
20.03.2024;13:08:42;2024-03-20T13:08:42+01:00;6.561
20.03.2024;13:03:42;2024-03-20T13:03:42+01:00;6.56
20.03.2024;12:58:42;2024-03-20T12:58:42+01:00;6.56
20.03.2024;12:53:42;2024-03-20T12:53:42+01:00;6.56
20.03.2024;12:48:42;2024-03-20T12:48:42+01:00;6.552
20.03.2024;12:43:42;2024-03-20T12:43:42+01:00;6.544
20.03.2024;12:38:42;2024-03-20T12:38:42+01:00;6.544
20.03.2024;12:33:42;2024-03-20T12:33:42+01:00;6.543
20.03.2024;12:28:42;2024-03-20T12:28:42+01:00;6.543
20.03.2024;12:23:42;2024-03-20T12:23:42+01:00;6.543
20.03.2024;12:18:42;2024-03-20T12:18:42+01:00;6.543
20.03.2024;12:13:42;2024-03-20T12:13:42+01:00;6.543
20.03.2024;12:08:42;2024-03-20T12:08:42+01:00;6.543
20.03.2024;12:03:42;2024-03-20T12:03:42+01:00;6.543
20.03.2024;11:58:42;2024-03-20T11:58:42+01:00;6.543
20.03.2024;11:53:42;2024-03-20T11:53:42+01:00;6.541
20.03.2024;11:48:42;2024-03-20T11:48:42+01:00;6.531
20.03.2024;11:43:42;2024-03-20T11:43:42+01:00;6.526
20.03.2024;11:38:42;2024-03-20T11:38:42+01:00;6.526
20.03.2024;11:33:42;2024-03-20T11:33:42+01:00;6.526
20.03.2024;11:28:42;2024-03-20T11:28:42+01:00;6.526
20.03.2024;11:23:42;2024-03-20T11:23:42+01:00;6.525
20.03.2024;11:18:42;2024-03-20T11:18:42+01:00;6.525
20.03.2024;11:13:42;2024-03-20T11:13:42+01:00;6.525
20.03.2024;11:08:42;2024-03-20T11:08:42+01:00;6.525
20.03.2024;11:03:42;2024-03-20T11:03:42+01:00;6.525
20.03.2024;10:58:42;2024-03-20T10:58:42+01:00;6.525
20.03.2024;10:53:42;2024-03-20T10:53:42+01:00;6.524
20.03.2024;10:48:42;2024-03-20T10:48:42+01:00;6.514
20.03.2024;10:43:42;2024-03-20T10:43:42+01:00;6.508
20.03.2024;10:38:42;2024-03-20T10:38:42+01:00;6.508
20.03.2024;10:33:42;2024-03-20T10:33:42+01:00;6.508
20.03.2024;10:28:42;2024-03-20T10:28:42+01:00;6.508
20.03.2024;10:23:42;2024-03-20T10:23:42+01:00;6.508
20.03.2024;10:18:42;2024-03-20T10:18:42+01:00;6.508
20.03.2024;10:13:42;2024-03-20T10:13:42+01:00;6.508
20.03.2024;10:08:42;2024-03-20T10:08:42+01:00;6.507
20.03.2024;10:03:42;2024-03-20T10:03:42+01:00;6.507
20.03.2024;09:58:42;2024-03-20T09:58:42+01:00;6.507
20.03.2024;09:53:42;2024-03-20T09:53:42+01:00;6.506
20.03.2024;09:48:42;2024-03-20T09:48:42+01:00;6.496
20.03.2024;09:43:42;2024-03-20T09:43:42+01:00;6.49
20.03.2024;09:38:42;2024-03-20T09:38:42+01:00;6.49
20.03.2024;09:33:42;2024-03-20T09:33:42+01:00;6.49
20.03.2024;09:28:42;2024-03-20T09:28:42+01:00;6.49
20.03.2024;09:23:42;2024-03-20T09:23:42+01:00;6.49
20.03.2024;09:18:42;2024-03-20T09:18:42+01:00;6.49
20.03.2024;09:13:42;2024-03-20T09:13:42+01:00;6.49
20.03.2024;09:08:42;2024-03-20T09:08:42+01:00;6.49
20.03.2024;09:03:42;2024-03-20T09:03:42+01:00;6.49
20.03.2024;08:58:42;2024-03-20T08:58:42+01:00;6.489
20.03.2024;08:53:42;2024-03-20T08:53:42+01:00;6.488
20.03.2024;08:48:42;2024-03-20T08:48:42+01:00;6.477
20.03.2024;08:43:42;2024-03-20T08:43:42+01:00;6.473
20.03.2024;08:38:42;2024-03-20T08:38:42+01:00;6.473
20.03.2024;08:33:42;2024-03-20T08:33:42+01:00;6.472
20.03.2024;08:28:42;2024-03-20T08:28:42+01:00;6.472
20.03.2024;08:23:42;2024-03-20T08:23:42+01:00;6.472
20.03.2024;08:18:42;2024-03-20T08:18:42+01:00;6.472
20.03.2024;08:13:42;2024-03-20T08:13:42+01:00;6.472
20.03.2024;08:08:42;2024-03-20T08:08:42+01:00;6.472
20.03.2024;08:03:42;2024-03-20T08:03:42+01:00;6.472
20.03.2024;07:58:42;2024-03-20T07:58:42+01:00;6.472
20.03.2024;07:53:42;2024-03-20T07:53:42+01:00;6.47
20.03.2024;07:48:42;2024-03-20T07:48:42+01:00;6.46
20.03.2024;07:43:42;2024-03-20T07:43:42+01:00;6.455
20.03.2024;07:38:42;2024-03-20T07:38:42+01:00;6.455
20.03.2024;07:33:42;2024-03-20T07:33:42+01:00;6.455
20.03.2024;07:28:42;2024-03-20T07:28:42+01:00;6.454
20.03.2024;07:23:42;2024-03-20T07:23:42+01:00;6.454
20.03.2024;07:18:42;2024-03-20T07:18:42+01:00;6.454
20.03.2024;07:13:42;2024-03-20T07:13:42+01:00;6.454
20.03.2024;07:08:42;2024-03-20T07:08:42+01:00;6.454
20.03.2024;07:03:42;2024-03-20T07:03:42+01:00;6.454
20.03.2024;06:58:42;2024-03-20T06:58:42+01:00;6.454
20.03.2024;06:53:42;2024-03-20T06:53:42+01:00;6.454
20.03.2024;06:48:42;2024-03-20T06:48:42+01:00;6.444
20.03.2024;06:43:42;2024-03-20T06:43:42+01:00;6.437
20.03.2024;06:38:42;2024-03-20T06:38:42+01:00;6.437
20.03.2024;06:33:42;2024-03-20T06:33:42+01:00;6.437
20.03.2024;06:28:42;2024-03-20T06:28:42+01:00;6.437
20.03.2024;06:23:42;2024-03-20T06:23:42+01:00;6.437
20.03.2024;06:18:42;2024-03-20T06:18:42+01:00;6.437
20.03.2024;06:13:42;2024-03-20T06:13:42+01:00;6.437
20.03.2024;06:08:42;2024-03-20T06:08:42+01:00;6.437
20.03.2024;06:03:42;2024-03-20T06:03:42+01:00;6.436
20.03.2024;05:58:42;2024-03-20T05:58:42+01:00;6.436
20.03.2024;05:53:42;2024-03-20T05:53:42+01:00;6.436
20.03.2024;05:48:42;2024-03-20T05:48:42+01:00;6.426
20.03.2024;05:43:42;2024-03-20T05:43:42+01:00;6.419
20.03.2024;05:38:42;2024-03-20T05:38:42+01:00;6.419
20.03.2024;05:33:42;2024-03-20T05:33:42+01:00;6.419
20.03.2024;05:28:42;2024-03-20T05:28:42+01:00;6.419
