Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:20:21;2024-03-20T15:20:21+01:00;3.883
20.03.2024;15:15:21;2024-03-20T15:15:21+01:00;3.883
20.03.2024;15:10:21;2024-03-20T15:10:21+01:00;3.883
20.03.2024;15:05:21;2024-03-20T15:05:21+01:00;3.883
20.03.2024;15:00:21;2024-03-20T15:00:21+01:00;3.883
20.03.2024;14:55:21;2024-03-20T14:55:21+01:00;3.883
20.03.2024;14:50:21;2024-03-20T14:50:21+01:00;3.883
20.03.2024;14:45:21;2024-03-20T14:45:21+01:00;3.883
20.03.2024;14:40:22;2024-03-20T14:40:22+01:00;3.883
20.03.2024;14:35:21;2024-03-20T14:35:21+01:00;3.883
20.03.2024;14:30:21;2024-03-20T14:30:21+01:00;3.883
20.03.2024;14:25:21;2024-03-20T14:25:21+01:00;3.883
20.03.2024;14:20:21;2024-03-20T14:20:21+01:00;3.883
20.03.2024;14:15:21;2024-03-20T14:15:21+01:00;3.883
20.03.2024;14:10:21;2024-03-20T14:10:21+01:00;3.883
20.03.2024;14:05:21;2024-03-20T14:05:21+01:00;3.883
20.03.2024;14:00:21;2024-03-20T14:00:21+01:00;3.883
20.03.2024;13:55:21;2024-03-20T13:55:21+01:00;3.883
20.03.2024;13:50:21;2024-03-20T13:50:21+01:00;3.883
20.03.2024;13:45:21;2024-03-20T13:45:21+01:00;3.883
20.03.2024;13:40:21;2024-03-20T13:40:21+01:00;3.883
20.03.2024;13:35:21;2024-03-20T13:35:21+01:00;3.883
20.03.2024;13:30:21;2024-03-20T13:30:21+01:00;3.883
20.03.2024;13:25:21;2024-03-20T13:25:21+01:00;3.883
20.03.2024;13:20:21;2024-03-20T13:20:21+01:00;3.883
20.03.2024;13:15:21;2024-03-20T13:15:21+01:00;3.854
20.03.2024;13:10:21;2024-03-20T13:10:21+01:00;3.74
20.03.2024;13:05:21;2024-03-20T13:05:21+01:00;3.639
20.03.2024;13:00:21;2024-03-20T13:00:21+01:00;3.639
20.03.2024;12:55:21;2024-03-20T12:55:21+01:00;3.639
20.03.2024;12:50:21;2024-03-20T12:50:21+01:00;3.639
20.03.2024;12:45:21;2024-03-20T12:45:21+01:00;3.639
20.03.2024;12:40:21;2024-03-20T12:40:21+01:00;3.639
20.03.2024;12:35:21;2024-03-20T12:35:21+01:00;3.639
20.03.2024;12:30:21;2024-03-20T12:30:21+01:00;3.639
20.03.2024;12:25:21;2024-03-20T12:25:21+01:00;3.639
20.03.2024;12:20:21;2024-03-20T12:20:21+01:00;3.639
20.03.2024;12:15:21;2024-03-20T12:15:21+01:00;3.639
20.03.2024;12:10:21;2024-03-20T12:10:21+01:00;3.639
20.03.2024;12:05:21;2024-03-20T12:05:21+01:00;3.639
20.03.2024;12:00:21;2024-03-20T12:00:21+01:00;3.639
20.03.2024;11:55:21;2024-03-20T11:55:21+01:00;3.639
20.03.2024;11:50:21;2024-03-20T11:50:21+01:00;3.639
20.03.2024;11:45:21;2024-03-20T11:45:21+01:00;3.638
20.03.2024;11:40:21;2024-03-20T11:40:21+01:00;3.638
20.03.2024;11:35:21;2024-03-20T11:35:21+01:00;3.638
20.03.2024;11:30:21;2024-03-20T11:30:21+01:00;3.638
20.03.2024;11:25:21;2024-03-20T11:25:21+01:00;3.638
