Datum;Zeit;Time;Wirkenergie(kWh)
20.03.2024;15:23:10;2024-03-20T15:23:10+01:00;5.373
20.03.2024;15:18:10;2024-03-20T15:18:10+01:00;5.373
20.03.2024;15:13:10;2024-03-20T15:13:10+01:00;5.373
20.03.2024;15:08:10;2024-03-20T15:08:10+01:00;5.373
20.03.2024;15:03:10;2024-03-20T15:03:10+01:00;5.373
20.03.2024;14:58:10;2024-03-20T14:58:10+01:00;5.373
20.03.2024;14:53:10;2024-03-20T14:53:10+01:00;5.373
20.03.2024;14:48:10;2024-03-20T14:48:10+01:00;5.373
20.03.2024;14:43:10;2024-03-20T14:43:10+01:00;5.373
20.03.2024;14:38:10;2024-03-20T14:38:10+01:00;5.373
20.03.2024;14:33:10;2024-03-20T14:33:10+01:00;5.373
20.03.2024;14:28:10;2024-03-20T14:28:10+01:00;5.373
20.03.2024;14:23:10;2024-03-20T14:23:10+01:00;5.373
20.03.2024;14:18:10;2024-03-20T14:18:10+01:00;5.373
20.03.2024;14:13:10;2024-03-20T14:13:10+01:00;5.373
20.03.2024;14:08:10;2024-03-20T14:08:10+01:00;5.373
20.03.2024;14:03:10;2024-03-20T14:03:10+01:00;5.373
20.03.2024;13:58:10;2024-03-20T13:58:10+01:00;5.373
20.03.2024;13:53:10;2024-03-20T13:53:10+01:00;5.373
20.03.2024;13:48:10;2024-03-20T13:48:10+01:00;5.373
20.03.2024;13:43:10;2024-03-20T13:43:10+01:00;5.373
20.03.2024;13:38:10;2024-03-20T13:38:10+01:00;5.373
20.03.2024;13:33:10;2024-03-20T13:33:10+01:00;5.373
20.03.2024;13:28:10;2024-03-20T13:28:10+01:00;5.373
20.03.2024;13:23:10;2024-03-20T13:23:10+01:00;5.373
20.03.2024;13:18:10;2024-03-20T13:18:10+01:00;5.373
20.03.2024;13:13:10;2024-03-20T13:13:10+01:00;5.373
20.03.2024;13:08:10;2024-03-20T13:08:10+01:00;5.373
20.03.2024;13:03:10;2024-03-20T13:03:10+01:00;5.373
20.03.2024;12:58:10;2024-03-20T12:58:10+01:00;5.373
20.03.2024;12:53:10;2024-03-20T12:53:10+01:00;5.373
20.03.2024;12:48:10;2024-03-20T12:48:10+01:00;5.373
20.03.2024;12:43:10;2024-03-20T12:43:10+01:00;5.373
20.03.2024;12:38:10;2024-03-20T12:38:10+01:00;5.373
20.03.2024;12:33:10;2024-03-20T12:33:10+01:00;5.373
20.03.2024;12:28:10;2024-03-20T12:28:10+01:00;5.373
20.03.2024;12:23:10;2024-03-20T12:23:10+01:00;5.373
20.03.2024;12:18:10;2024-03-20T12:18:10+01:00;5.373
20.03.2024;12:13:10;2024-03-20T12:13:10+01:00;5.373
20.03.2024;12:08:10;2024-03-20T12:08:10+01:00;5.373
20.03.2024;12:03:10;2024-03-20T12:03:10+01:00;5.373
20.03.2024;11:58:10;2024-03-20T11:58:10+01:00;5.373
20.03.2024;11:53:10;2024-03-20T11:53:10+01:00;5.373
20.03.2024;11:48:10;2024-03-20T11:48:10+01:00;5.373
20.03.2024;11:43:10;2024-03-20T11:43:10+01:00;5.373
20.03.2024;11:38:10;2024-03-20T11:38:10+01:00;5.373
20.03.2024;11:33:10;2024-03-20T11:33:10+01:00;5.373
20.03.2024;11:28:10;2024-03-20T11:28:10+01:00;5.373
20.03.2024;11:23:10;2024-03-20T11:23:10+01:00;5.373
20.03.2024;11:18:10;2024-03-20T11:18:10+01:00;5.373
20.03.2024;11:13:10;2024-03-20T11:13:10+01:00;5.373
20.03.2024;11:08:10;2024-03-20T11:08:10+01:00;5.373
20.03.2024;11:03:10;2024-03-20T11:03:10+01:00;5.373
20.03.2024;10:58:10;2024-03-20T10:58:10+01:00;5.373
20.03.2024;10:53:10;2024-03-20T10:53:10+01:00;5.373
